scenario_id,chunk_idx,I0_n_all,I0_rate_all,I0_n_terminal_complete,I0_rate_terminal_complete,S_n_all,S_rate_all,S_n_terminal_complete,S_rate_terminal_complete,S-rand_n_all,S-rand_rate_all,S-rand_n_terminal_complete,S-rand_rate_terminal_complete,E_n_all,E_rate_all,E_n_terminal_complete,E_rate_terminal_complete,S_minus_I0_terminal_complete,S_minus_S-rand_all,S_minus_E_all
0,61,100,0.54,100,0.54,20,0.5,11,0.36363636363636365,20,0.45,16,0.5,20,0.3,17,0.23529411764705882,-0.1763636363636364,0.04999999999999999,0.2
1,74,100,0.38,100,0.38,20,0.0,14,0.0,20,0.05,12,0.08333333333333333,20,0.15,12,0.25,-0.38,-0.05,-0.15
4,50,100,0.42,100,0.42,20,0.4,11,0.36363636363636365,20,0.25,14,0.21428571428571427,20,0.25,14,0.2857142857142857,-0.05636363636363634,0.15000000000000002,0.15000000000000002
5,88,100,0.58,100,0.58,20,0.2,8,0.25,20,0.55,15,0.6666666666666666,20,0.25,10,0.4,-0.32999999999999996,-0.35000000000000003,-0.04999999999999999
6,24,100,0.24,100,0.24,20,0.2,8,0.25,20,0.15,10,0.3,20,0.25,17,0.29411764705882354,0.010000000000000009,0.05000000000000002,-0.04999999999999999
6,106,100,0.63,100,0.63,20,0.6,16,0.6875,20,0.7,17,0.7647058823529411,20,0.5,14,0.5714285714285714,0.057499999999999996,-0.09999999999999998,0.09999999999999998
7,60,100,0.44,100,0.44,20,0.2,12,0.16666666666666666,20,0.25,13,0.23076923076923078,20,0.4,7,0.2857142857142857,-0.2733333333333333,-0.04999999999999999,-0.2
7,62,100,0.15,100,0.15,20,0.35,12,0.16666666666666666,20,0.5,9,0.5555555555555556,20,0.4,12,0.25,0.016666666666666663,-0.15000000000000002,-0.050000000000000044
8,103,100,0.35,99,0.35353535353535354,20,0.35,17,0.29411764705882354,20,0.55,14,0.42857142857142855,20,0.4,14,0.2857142857142857,-0.05941770647653,-0.20000000000000007,-0.050000000000000044
8,115,100,0.55,100,0.55,20,0.55,15,0.6,20,0.45,15,0.4,20,0.5,13,0.46153846153846156,0.04999999999999993,0.10000000000000003,0.050000000000000044
8,161,100,0.54,100,0.54,20,0.4,19,0.3684210526315789,20,0.4,18,0.3333333333333333,20,0.35,17,0.35294117647058826,-0.1715789473684211,0.0,0.050000000000000044
9,37,100,0.34,100,0.34,20,0.2,12,0.3333333333333333,20,0.3,11,0.45454545454545453,20,0.15,13,0.23076923076923078,-0.00666666666666671,-0.09999999999999998,0.05000000000000002
10,57,100,0.33,100,0.33,20,0.2,16,0.25,20,0.3,10,0.3,20,0.2,11,0.2727272727272727,-0.08000000000000002,-0.09999999999999998,0.0
10,68,100,0.23,100,0.23,20,0.25,12,0.4166666666666667,20,0.1,8,0.0,20,0.3,12,0.3333333333333333,0.18666666666666668,0.15,-0.04999999999999999
10,94,100,0.28,100,0.28,20,0.05,11,0.09090909090909091,20,0.15,10,0.1,20,0.15,6,0.0,-0.18909090909090912,-0.09999999999999999,-0.09999999999999999
10,102,100,0.83,100,0.83,20,0.4,5,1.0,20,0.45,6,0.6666666666666666,20,0.2,7,0.42857142857142855,0.17000000000000004,-0.04999999999999999,0.2
12,122,100,0.41,100,0.41,20,0.35,14,0.35714285714285715,20,0.45,16,0.4375,20,0.35,17,0.23529411764705882,-0.052857142857142825,-0.10000000000000003,0.0
12,167,100,0.36,100,0.36,20,0.15,17,0.11764705882352941,20,0.15,15,0.06666666666666667,20,0.25,17,0.23529411764705882,-0.24235294117647058,0.0,-0.1
13,142,100,0.29,100,0.29,20,0.0,8,0.0,20,0.0,13,0.0,20,0.25,4,0.5,-0.29,0.0,-0.25
